Product Name,Original Price,Discounted Price,Discount Percentage,Customer Rating (out of 5),Number of Reviews,Product URL,Category
Simbaland 1.8L Rice Cooker(1 YR WRTY),"UGX 150,000","UGX 95,000",37%,4.5,39.0,https://www.jumia.ug/simbaland-1.8l-rice-cooker1-yr-wrty-143431988.html,Kitchen Appliance
"Electric Egg Boiler, 7 Slots Egg Boiler Breakfast Water Boiling for Home -Multicolor","UGX 60,000","UGX 31,000",48%,4.0,46.0,https://www.jumia.ug/generic-electric-egg-boiler-7-slots-egg-boiler-breakfast-water-boiling-for-home-multicolor-170756092.html,Kitchen Appliance
"Hoffmans 6.5L Genuine 14 In 1 Digital Electric Pressure Cooker - Red, Silver","UGX 250,000","UGX 190,000",24%,3.8,5.0,https://www.jumia.ug/6.5l-genuine-14-in-1-digital-electric-pressure-cooker-red-silver-hoffmans-mpg6428709.html,Kitchen Appliance
High Speed Motor Stainless Steel Base Glass Jar Blender - Silver,"UGX 150,000","UGX 64,000",57%,,16.0,https://www.jumia.ug/high-speed-motor-stainless-steel-base-glass-jar-blender-silver-generic-mpg522018.html,Kitchen Appliance
Hisense 8.6 Liters Air Fryer -Dual Basket  Black 1Yr Wrnty,"UGX 450,000","UGX 303,400",33%,4.5,58.0,https://www.jumia.ug/hisense-8.6-liters-air-fryer-dual-basket-black-1yr-wrnty-84561008.html,Kitchen Appliance
"2 Slice Sandwich Maker, Waffle Plate - Black","UGX 100,000","UGX 47,000",53%,4.2,69.0,https://www.jumia.ug/2-slice-sandwich-maker-waffle-plate-white.-winningstar-mpg581937.html,Kitchen Appliance
"Heavy Duty Stainless Steel Single Electric Deep Fryer, 6 Litres - Silver","UGX 260,010","UGX 93,000",64%,,14.0,https://www.jumia.ug/generic-heavy-duty-stainless-steel-single-electric-deep-fryer-6-litres-silver-51452030.html,Kitchen Appliance
Hisense 6 Liters Air Fryer - Black [1Yr Wrnty],"UGX 300,000","UGX 199,900",33%,4.5,47.0,https://www.jumia.ug/hisense-6-liters-air-fryer-black-1yr-wrnty-119457395.html,Kitchen Appliance
Hoffmans 4 In 1 Multipurpose Fruit Juicer Blender Smoothie Mixer,"UGX 170,000","UGX 125,000",26%,4.0,9.0,https://www.jumia.ug/hoffmans-4-in-1-multipurpose-fruit-juicer-blender-smoothie-mixer-246226697.html,Kitchen Appliance
Hoffmans 5 In 1 Multifunction Electric Blender 1.8L - Black,"UGX 200,000","UGX 140,000",30%,4.2,226.0,https://www.jumia.ug/hoffmans-5-in-1-multifunction-electric-blender-1.8l-black-115794832.html,Kitchen Appliance
